 1  -91.406   53.344    8.320  -49.007   54.453    0.978
 2  -91.297   53.222    0.916  -47.365   54.435   -6.242
 3  -60.158   24.280    8.948  -36.514   13.733    3.642
 4  -60.135   24.278    1.521  -34.881   13.859   -3.608
 5  -56.298  -19.186    5.700  -53.378  -25.872   -4.187
 6  -13.269   -2.677   -1.444   -7.324  -32.695   -1.389
 7   -4.666   17.245   -1.605    9.587  -19.650    2.449
 8  -49.939   14.297   27.119  -36.532   -0.319   21.980
 9  -52.769   11.523   25.906  -39.932   -1.307   19.965
10  -72.929   -8.630   27.146  -67.051   -8.834   15.017
11  -46.500  -30.291   23.078  -54.124  -40.688   13.216
12  -52.581  -22.934    5.676  -51.943  -30.962   -3.965
13  -58.972  -17.511   18.862  -57.712  -23.376    8.397
14  -55.429  -26.155   23.077  -59.650  -32.625   12.037
15  -55.313  -26.131   23.039  -59.512  -32.705   12.071
16  -63.467   27.962   26.981  -41.466   18.246   21.085
17  -57.673   22.069   25.782  -39.133   10.234   20.247
18  -49.687   14.083   -3.666  -29.781   -0.026   -8.062
